Site,Type,Time,Rep,Machine,AvgThickness,WaterWt,PercentWater,Notes,WaterCheck,PAR0,PAR25,PAR50,PAR100,PAR150,PAR300,PAR500,PAR750,PAR1000,PAR1250,PAR1600,PAR2000,Resp,Net,QY,LightSat,Shape,Amax,Cfix
WHS,cl,2,1,s,8.0675,0.9381,0.370453738,maybeexclude,,-3.9939609423894944,-2.7677812916624336,-1.8149345659939486,-0.3323624191499638,0.3726714597902884,1.9106291588121842,2.992543613642294,3.645854857899275,4.211763385059745,4.47152093739221,4.85551081650101,4.729125396637242,3.9939609423894944,4.85551081650101,0.04631385677849667,1600,TipDown,8.849471758890504,8.849471758890504
WHS,cl,2,2,b,8.4025,0.9141,0.376420689,maybeexclude,,-5.595342096086703,-4.214229598621616,-3.5209125246155843,-2.010249621605206,-1.5350607401573053,0.2574178307750804,0.8554416113069724,1.7341956036330688,2.2951415941711804,2.5152197992789818,2.6612164523175035,2.679642538284931,5.595342096086703,2.679642538284931,0.04836654566401292,2000,UpUpUp,8.274984634371634,8.274984634371634
WHS,cl,2,3,t,7.8875,0.7401,0.336562074,maybeexclude,,-2.706732589304108,-1.6745560442581056,-1.1130336246301624,-0.16728946861246127,0.29431795314764636,1.4906540639420909,2.0059532057979736,2.686057335340451,2.822086942481945,3.1229932271562166,3.1804715914701958,3.068959276740398,2.706732589304108,3.1804715914701958,0.036580520547659506,1600,TipDown,5.887204180774304,5.887204180774304
WHS,cl,2,4,s,5.55,0.656,0.45426217,maybeexclude,,-3.292497591595356,-2.522899550716634,-1.6652341085072055,-0.36312521715273144,0.25125835459257534,1.647708688170932,2.661386303053973,3.0284830786113717,3.266468179491258,3.5313877018609774,3.813100165128135,3.9756803660293123,3.292497591595356,3.9756803660293123,0.031664595648455945,2000,UpUpUp,7.268177957624668,7.268177957624668
WHS,cl,2,5,b,6.8925,1.5788,0.650006176,maybeexclude,,-4.756905923661047,-3.624989158592851,-2.54315979985352,-1.5218509600634496,-0.25191434013907515,1.4209855876218622,2.5415021612969837,3.269455107088442,4.08756166396166,4.987400308793391,5.502552910959772,6.155269681337248,4.756905923661047,6.155269681337248,0.04477579653943918,2000,UpUpUp,10.912175604998295,10.912175604998295
WHS,cl,2,6,t,10.825,-0.1537,-0.048198438,maybeexclude,x,-3.7153872525069116,-2.6401360608239237,-1.8178868614446744,-0.8572156116280063,-0.2250876857006372,1.282317993228507,2.2686269490949567,2.6839982378122635,2.9401465934689845,3.0446116817826145,3.0990895662342512,3.14089536292671,3.7153872525069116,3.14089536292671,0.04048002774428213,2000,UpUpUp,6.856282615433622,6.856282615433622
WHS,cl,2,7,h,7.375,0.3474,0.152274919,maybeexclude,,-3.445519777946705,-2.398821840252396,-1.615437654396946,-0.5032483878429893,0.27300269038266994,1.4744881664124927,2.205603144802128,3.126351842194133,3.8883712093956784,4.434760947498135,4.888428706584213,5.084005271293469,3.445519777946705,5.084005271293469,0.03923477998938377,2000,UpUpUp,8.529525049240174,8.529525049240174
WHS,cl,2,8,t,8.26,0.9972,0.378558955,,,-3.8692935191342532,-2.9284737321169634,-2.142655501842449,-0.9682983057142099,-0.19937058482838313,1.09164438258901,2.0316594477927374,2.708004027581622,3.026903829517624,3.289157869191719,3.385521111842476,4.114073649269856,3.8692935191342532,4.114073649269856,0.03608277591326384,2000,UpUpUp,7.98336716840411,7.98336716840411
WHS,cl,2,9,s,8.59,0.8408,0.252629049,,,-4.428731768749052,-3.0349678195588643,-2.3356308255032774,-1.3733385551733972,0.18403854123238908,0.7331640108109794,1.9987721844463366,2.451509037985094,2.972024269484276,2.9449006466781618,3.12482122426312,3.181512355116319,4.428731768749052,3.181512355116319,0.0488062884162615,2000,UpUpUp,7.610244123865371,7.610244123865371
WHS,cl,2,10,t,6.74,0.7729,0.398217322,,,-3.646742917021406,-2.5069021395379787,-1.883260107878709,-0.6221394318009981,0.07177718797979073,0.9152566207690326,1.616597124743456,1.9121090265080065,2.400468682607135,2.5978991423737745,2.7094220742922532,2.511396083385052,3.646742917021406,2.7094220742922532,0.04043164364109552,1600,TipDown,6.356164991313659,6.356164991313659
WHS,cl,6,1,s,7.1575,0.9269,0.509229755,maybeexclude,,-3.25805833740705,-1.9083748892280383,-1.073984484779592,0.25462550445898213,1.017953861052023,2.4790856751767065,3.396242248831862,4.142177435627765,4.68413724994136,5.125618235256318,5.590727263110671,5.742362605522521,3.25805833740705,5.742362605522521,0.04883440748985481,2000,UpUpUp,9.000420942929571,9.000420942929571
WHS,cl,6,2,b,5.875,1.4306,2.287130296,maybeexclude,,-3.9390005176569836,-2.6578653054157555,-1.7001285085938405,-0.7078050699840452,-0.05284789537686985,1.6843289634442307,2.353549297303401,2.7000247550005674,2.6935417227675376,2.6538100324643263,1.8067583391745499,0.6637900238742328,3.9390005176569836,2.7000247550005674,0.04801142433545599,750,UpDown,6.639025272657551,6.639025272657551
WHS,cl,6,3,t,7.2925,-0.2642,-0.094858538,maybeexclude,x,-3.2572297545300297,-2.1502421478050993,-1.28665285252285,-0.08863834347546276,0.7241514926703937,2.323418097201873,3.363724811047916,4.028762878249933,4.409426593844192,4.7672591733589815,4.7493999422940485,4.599522138720422,3.2572297545300297,4.7672591733589815,0.04184552115457041,1250,TipDown,8.024488927889012,8.024488927889012
WHS,cl,6,4,s,7.36,0.8219,0.302602997,maybeexclude,,-3.7998519588874626,-1.9740498960440993,-1.147016820883884,-0.21228126781571213,0.8109989812891871,2.61326847522296,3.574992612651857,4.140468234867922,4.650742812123355,4.947907344039494,5.1456953908345096,4.772691827164634,3.7998519588874626,5.1456953908345096,0.06304439263690306,1600,TipDown,8.945547349721972,8.945547349721972
WHS,cl,6,5,b,5.935,0.7743,0.356360457,maybeexclude,,-4.442632963715322,-3.0974238204258513,-2.1632876107237773,-0.8762349830353809,0.13414149188715224,1.4649981350959673,2.45879656756828,3.280917858560753,4.044358554504729,4.466460965326163,5.061488404313396,5.039847134290376,4.442632963715322,5.061488404313396,0.049697636395704875,1600,TipDown,9.504121368028718,9.504121368028718
WHS,cl,6,6,t,8.5925,3.7627,1.299185139,maybeexclude,x,-4.6654204732135325,-3.821040850463872,-2.972070974368446,-1.9774208870933931,-1.3054393563567879,-0.40758588801382906,0.29606680295723353,1.0103738540836449,1.4765082560642027,1.6070569808235589,1.6886146640797985,1.8606831350394408,4.6654204732135325,1.8606831350394408,0.03382108744344407,2000,UpUpUp,6.526103608252973,6.526103608252973
WHS,cl,6,7,h,5.9525,0.8071,0.397488303,maybeexclude,,-4.685955504263104,-3.467491145660803,-2.568517354571962,-1.321775950854634,-0.476294262933868,0.7196646396944543,1.5011175309631133,1.8909349684741312,2.2552645697136477,2.6707160939689505,2.917165039888488,3.011252142841173,4.685955504263104,3.011252142841173,0.04554366866895744,2000,UpUpUp,7.6972076471042765,7.6972076471042765
