Site,Type,Time,PAR0,PAR25,PAR50,PAR100,PAR150,PAR300,PAR500,PAR750,PAR1000,PAR1250,PAR1600,PAR2000,Resp,Net,QY,LightSat,Shape,Amax,Cfix
WHS,CL,Six,-3.84291585807748,-2.4601101272326,-1.6145685563189969,-0.6761802289899886,0.34392291132980624,1.1882224646859425,1.7313591412631069,2.7495795042903945,2.942390613909174,3.392046781174064,3.8049029904961063,4.034277651046787,3.84291585807748,4.034277651046787,0.04993958763448243,2000,UpUpUp,7.877193509124266,7.877193509124266
WHS,CL,Six,-3.5965481148030922,-2.781935711457783,-2.4930005026492887,-1.7708208281556892,-0.9014398032264573,-0.313170605891146,0.15988118061624684,0.3068365890575126,1.0126663157540352,1.6327207550533636,1.6734840794483727,2.156564325259827,3.5965481148030922,2.156564325259827,0.027327724188444216,2000,UpUpUp,5.753112440062919,5.753112440062919
WHS,CL,Six,-6.370636406613642,-4.868101682144697,-3.605717671907105,-2.3292219550207385,-1.6680657092048163,-0.2420868137096498,0.39104375934536234,1.1136586131933277,1.364610412604648,1.6227846636398546,1.929106267463953,1.8475788604502237,6.370636406613642,1.929106267463953,0.057699881836444256,1600,TipDown,8.299742674077594,8.299742674077594
WHS,CL,Six,-5.725791625971857,-4.5729476906573865,-4.006602748883535,-3.160793477627355,-2.4465455543836,-1.7980225994679295,-1.4567239366837403,-0.8816665128670529,-0.5552639774710413,-0.5979311573571306,-0.46669678517727603,-0.5872086139512318,5.725791625971857,-0.46669678517727603,0.040248767477172626,1600,TipDown,5.259094840794581,5.259094840794581
WHS,CL,Six,-2.1196930597712567,-1.3938366526804384,-1.081382300067015,-0.17794377069106013,0.3434035597006529,0.9944476316819328,1.4857605984700242,1.9398133851779136,2.2985025013031044,2.3789583476283016,2.925275110742629,3.237267460515069,2.1196930597712567,3.237267460515069,0.02490023573885878,2000,UpUpUp,5.356960520286325,5.356960520286325
WHS,CL,Six,-3.472401167920239,-3.003448996332407,-2.5142948768280746,-2.109046088389266,-1.7111548673050487,-1.2703365658054508,-1.112271771294335,-1.1919552365228583,-1.1241170684854485,-0.8175854903871326,-0.8944730411058371,-0.451145722799713,3.472401167920239,-0.451145722799713,0.01896010634267829,2000,UpDownUp,3.0212554451205262,3.0212554451205262
WHS,CL,Six,-3.5805208008009375,-2.4739545548956507,-1.8846313132087167,-1.0998358430566626,-0.5218828444558223,0.230668333425417,0.8666219786548093,1.0649812624624106,1.4973919861433413,2.3608704316197517,2.729083704459103,2.8251939822960432,3.5805208008009375,2.8251939822960432,0.03909021979402794,2000,UpUpUp,6.405714783096981,6.405714783096981
WHS,CL,Six,-4.922153612758575,-3.5628521295723834,-2.635918419097824,-1.442922005151081,-0.6532184988189373,0.6190229903676002,1.4017590605790327,1.9135122423694402,2.036439602938321,2.239884629523884,1.9546712892414424,1.6900129339536425,4.922153612758575,2.239884629523884,0.05004838160033134,1250,TipDown,7.16203824228246,7.16203824228246
WHS,CL,Six,-1.0604071796854193,-0.5850953311009178,-0.1515780013679854,0.47792573765036633,0.5768216117529945,1.073154109832247,1.376138731489869,1.6656367624501638,1.8318932051012955,2.147242761929284,2.3982969433645374,2.618116485839721,1.0604071796854193,2.618116485839721,0.01859452875486437,2000,UpUpUp,3.67852366552514,3.67852366552514
WHS,CL,Six,-2.566477066067531,-2.0501179991582963,-1.7727761104021524,-0.8534519115262802,-0.800533200561822,-0.03586541525964682,0.3427976738467023,0.6021093952748914,0.8474666515469899,1.4096468273819296,2.0919888721653157,2.1603305119103053,2.566477066067531,2.1603305119103053,0.018264190894838474,2000,UpUpUp,4.726807577977836,4.726807577977836
